cycle,conditioned_error,conservative_error,open_loop_error,beta,maximum_raw_offset_us,maximum_applied_offset_us,minimum_raw_dwell_us,minimum_applied_dwell_us,minimum_conservative_dwell_us,conditioned_vc1_v,conditioned_vc2_v,conditioned_il_a,conservative_vc1_v,conservative_vc2_v,conservative_il_a,open_vc1_v,open_vc2_v,open_il_a,raw_offset_1_us,applied_offset_1_us,raw_offset_2_us,applied_offset_2_us,raw_offset_3_us,applied_offset_3_us,raw_offset_4_us,applied_offset_4_us,raw_offset_5_us,applied_offset_5_us,raw_offset_6_us,applied_offset_6_us,raw_offset_7_us,applied_offset_7_us,raw_offset_8_us,applied_offset_8_us,raw_dwell_1_us,applied_dwell_1_us,raw_dwell_2_us,applied_dwell_2_us,raw_dwell_3_us,applied_dwell_3_us,raw_dwell_4_us,applied_dwell_4_us,raw_dwell_5_us,applied_dwell_5_us,raw_dwell_6_us,applied_dwell_6_us,raw_dwell_7_us,applied_dwell_7_us,raw_dwell_8_us,applied_dwell_8_us,raw_dwell_9_us,applied_dwell_9_us
0,0.983946311454543,0.983946311454543,0.983946311454543,0.293978247541652,65.2171217738912,19.172415168799,-43.0447066050922,3.00000000000002,15.5016236980524,7.5143,20.8211,0.0314,7.5143,20.8211,0.0314,7.5143,20.8211,0.0314,-15.1933227546183,-4.46650639773739,-39.5698241957014,-11.6326675725835,-27.1827798785593,-7.99114599200934,44.2809121972022,13.0176249672792,41.9621917826516,12.3359716032706,-30.3809641429137,-8.93134259735952,-63.6542562226834,-18.7129666929117,65.2171217738912,19.172415168799,48.6958607515007,59.4226771083816,-0.708902065204083,16.5014382010329,34.3870443171421,25.6415215805742,94.4449690452625,43.9900479287896,19.6812795854495,21.3183466359914,-8.67114766764035,42.4046940572948,-11.1032027491447,12.3884652350728,152.318805387727,61.3328092528627,-43.0447066050922,3.00000000000002
1,0.623472020812322,0.729755325538906,0.762669612182887,0.447286206007492,42.8638641462551,19.172415168799,-20.6914489774561,3.00000000000002,15.9377535634335,7.58128954886745,20.7103905991159,0.408908573883186,7.4956813682758,20.7169722675582,0.297850693330355,7.40579814116816,20.7475708358773,0.266111912874395,-8.07511799450741,-3.61188889082605,-28.5655248909292,-12.7769652510763,-12.0553684799394,-5.39220002941441,20.9148402443581,9.35491954215174,30.1519044072566,13.4865309262224,-13.8888027312075,-6.21226987962829,-41.731697351241,-18.6660125784895,42.8638641462551,19.172415168799,55.8140655116116,60.2772946152929,3.1771924794572,14.5025230156287,38.5101564109898,29.3847652216619,55.9514856937985,37.7283965410671,31.2370641628985,26.1316113840707,19.6313011194609,43.9732074520743,-5.67280528940856,9.71634663176376,108.042988888648,61.2858551384405,-20.6914489774561,3.00000000000002
2,0.356148798440428,0.545722212223871,0.603259409713213,0.778542966765438,24.6260206401368,19.172415168799,-2.45360547133781,3.00000000000002,16.5513554762118,8.06708739204294,20.4921544388595,0.684409763598871,7.62359512717161,20.5824193703854,0.491683957400711,7.32384055129754,20.6909310704877,0.442494210421166,-2.71595121998357,-2.11448472039622,-18.7296392894111,-14.5818289388246,-3.54331342146309,-2.75862174332567,6.39606212534335,4.97960918268087,19.6917471810286,15.330871271113,-4.41958446254811,-3.44083639934264,-23.9140998900852,-18.6181542759519,24.6260206401368,19.172415168799,61.1732322861354,61.7746987857228,7.65391130645149,11.2002551574506,37.186325867948,33.823207195499,32.9206525163074,30.7195078955075,35.2956850556853,32.3512620884321,39.5606766143482,44.9003005874693,2.67557390308795,6.9927714540157,71.987547921374,61.2379968359029,-2.45360547133781,3.00000000000002
3,0.139008200724249,0.411777826791058,0.491275665934909,1,9.09109871328832,9.09109871328832,13.2091384720958,13.2091384720958,17.2458161561191,9.06465797973376,20.0474202225646,0.879816206639303,7.83671442868844,20.4313266121033,0.631980811172803,7.26183335311358,20.6469827951848,0.575042508304818,0.774892089065283,0.774892089065283,-8.65318866058991,-8.65318866058991,-0.96587103978297,-0.96587103978297,0.129688932138395,0.129688932138395,9.09109871328832,9.09109871328832,-1.22752238277475,-1.22752238277475,-8.69757374779043,-8.69757374779043,8.9632766967032,8.9632766967032,64.6640755951843,64.6640755951843,14.2395186262238,14.2395186262238,29.687317620807,29.687317620807,24.0768369414224,24.0768369414224,30.96140978115,30.96140978115,53.3533871618619,53.3533871618619,14.7000379656093,14.7000379656093,41.1082778356457,41.1082778356457,13.2091384720958,13.2091384720958
4,0.0342687722513543,0.313575687272055,0.415255805119223,1,2.88256970292499,2.88256970292499,19.608950097793,19.608950097793,17.9463584007065,9.76487988983559,19.6327987403565,0.957201669042037,8.08719617123382,20.2775664548602,0.733018841437438,7.2148213277022,20.6125713372375,0.67465008769222,1.3348306670101,1.3348306670101,-2.72381861107587,-2.72381861107587,-1.17450735474164,-1.17450735474164,-0.169561539104577,-0.169561539104577,2.88256970292499,2.88256970292499,-1.23042045578448,-1.23042045578448,-1.63619887577645,-1.63619887577645,1.66835278535728,1.66835278535728,65.2240141731291,65.2240141731291,19.608950097793,19.608950097793,23.5493112563342,23.5493112563342,23.9862227851381,23.9862227851381,25.0521312420296,25.0521312420296,59.5590180992155,59.5590180992155,21.764310910633,21.764310910633,26.7519790522857,26.7519790522857,20.5040623834417,20.5040623834417
5,0.0112104339294002,0.240958837121464,0.365725581146997,1,1.11003505872354,1.11003505872354,21.6813767222619,21.6813767222619,18.6047614364161,9.91229941714744,19.4634163428574,0.97513332411717,8.34261040138677,20.131318224016,0.805457402822428,7.17908068822675,20.585326003183,0.749503118617913,0.946103980623331,0.946103980623331,-1.04011867299378,-1.04011867299378,-0.84365208505651,-0.84365208505651,-0.0990227672707677,-0.0990227672707677,1.11003505872354,1.11003505872354,-0.856349395381297,-0.856349395381297,-0.190319013640871,-0.190319013640871,0.181335466752147,0.181335466752147,64.8352874867423,64.8352874867423,21.6813767222619,21.6813767222619,22.1964665879373,22.1964665879373,23.7259062872867,23.7259062872867,23.2090578259943,23.2090578259943,61.7056238038201,61.7056238038201,22.8361197123654,22.8361197123654,23.8190818715451,23.8190818715451,21.9910797020468,21.9910797020468
6,0.00531859108235053,0.186760640350987,0.334804710493734,1,0.585035224250111,0.585035224250111,21.9974529182742,21.9974529182742,19.195499502794,9.93146354709273,19.3866763579866,0.979892090338811,8.58367983453348,19.998557049711,0.857196229435758,7.15181305426454,20.5634652505687,0.80575340959683,0.585035224250111,0.585035224250111,-0.494604559003869,-0.494604559003869,-0.497151640729684,-0.497151640729684,-0.0857487203046973,-0.0857487203046973,0.530206131299065,0.530206131299065,-0.49942672861528,-0.49942672861528,0.0475179145090457,0.0475179145090457,-0.0579986755715845,-0.0579986755715845,64.4742187303691,64.4742187303691,22.587959592625,22.587959592625,21.9974529182742,21.9974529182742,23.392679889926,23.392679889926,22.6159548516038,22.6159548516038,62.6423753980106,62.6423753980106,22.7170339737493,22.7170339737493,23.3419108010714,23.3419108010714,22.2304138443706,22.2304138443706
7,0.00288988149930727,0.145918148141656,0.31623797389747,1,0.345026916594947,0.345026916594947,21.982548277689,21.982548277689,19.7091555699013,9.93074340802345,19.3459712695182,0.981341758110278,8.80068423972502,19.8818846201541,0.894036531116381,7.13091547719439,20.5456502768543,0.848023970882512,0.345026916594947,0.345026916594947,-0.263246139437857,-0.263246139437857,-0.28069786174884,-0.28069786174884,-0.0635549648158208,-0.0635549648158208,0.28262591367285,0.28262591367285,-0.280651674812403,-0.280651674812403,0.0606851291307894,0.0606851291307894,-0.0676984635859381,-0.0676984635859381,64.2342104227139,64.2342104227139,23.0593263198462,23.0593263198462,21.982548277689,21.982548277689,23.198419866434,23.198419866434,22.3461808784887,22.3461808784887,63.1087306694397,63.1087306694397,22.5114261345682,22.5114261345682,23.3190437984353,23.3190437984353,22.2401136323849,22.2401136323849
8,0.00162118045323776,0.114840619985564,0.305443192508181,1,0.199408787763285,0.199408787763285,21.9883372265849,21.9883372265849,20.1462782007952,9.92846224915862,19.3230807865841,0.981859130649441,8.9901027048234,19.7816444909447,0.920201492640023,7.11480761703596,20.5308749932306,0.879788939186842,0.199408787763285,0.199408787763285,-0.146212036134487,-0.146212036134487,-0.157874809549592,-0.157874809549592,-0.0412970283270609,-0.0412970283270609,0.157040865742682,0.157040865742682,-0.157486988471881,-0.157486988471881,0.0421127844308526,0.0421127844308526,-0.046314800962056,-0.046314800962056,64.0885922938823,64.0885922938823,23.3219785519812,23.3219785519812,21.9883372265849,21.9883372265849,23.0978547507235,23.0978547507235,22.1983378940698,22.1983378940698,63.3574804037104,63.3574804037104,22.3696891035277,22.3696891035277,23.3589998057591,23.3589998057591,22.2187299697611,22.2187299697611
9,0.000917077525834355,0.0909678574700071,0.299330656205689,1,0.114195458704126,0.114195458704126,21.9933252360549,21.9933252360549,20.5127850497414,9.92688222733992,19.3100423980166,0.982076037272402,9.15205641044858,19.6968717395465,0.938743312784553,7.10230186791911,20.5183833412635,0.903659086546284,0.114195458704126,0.114195458704126,-0.0824116045701956,-0.0824116045701956,-0.0890863685152811,-0.0890863685152811,-0.0250424018558236,-0.0250424018558236,0.0885231977168928,0.0885231977168928,-0.0887693678679399,-0.0887693678679399,0.0257296622142203,0.0257296622142203,-0.0281640567275979,-0.0281640567275979,64.0033789648231,64.0033789648231,23.4709923126047,23.4709923126047,21.9933252360549,21.9933252360549,23.0453209361604,23.0453209361604,22.1135655995727,22.1135655995727,63.4947156923401,63.4947156923401,22.2845883607072,22.2845883607072,23.3935336722102,23.3935336722102,22.2005792255266,22.2005792255266
