jacobian,row,column,analytical,finite_difference,absolute_error
Phi,1,1,0.999528056771646,0.99952805677006,1.58539847916472e-12
Phi,2,1,0.001756231660381,0.00175623165965533,7.25669090789749e-13
Phi,3,1,0.000556049938306383,0.00055604993831615,9.76692685061842e-15
Phi,1,2,-0.0018748056996797,-0.00187480569913134,5.48355198054518e-13
Phi,2,2,0.999919471340241,0.999919471339261,9.80104886139088e-13
Phi,3,2,-1.38301036241472e-05,-1.38301036178845e-05,6.26270411398233e-15
Phi,1,3,0.11228748053281,0.11228748052261,1.01992858603239e-11
Phi,2,3,0.0727446328507488,0.0727446328419035,8.84536888179355e-12
Phi,3,3,0.751736931125189,0.751736931126068,8.78519479385886e-13
Gamma,1,1,-84.9693911897001,-84.9693912563509,6.66508128688292e-08
Gamma,2,1,-23118.7832054361,-23118.7832042679,1.1682859621942e-06
Gamma,3,1,-857.683824619105,-857.683824562194,5.69108351555769e-08
Gamma,1,2,-23257.1450429746,-23257.1450387908,4.1837956814561e-06
Gamma,2,2,23569.1416155742,23569.1416143879,1.18622483569197e-06
Gamma,3,2,-781.760906229455,-781.760906315432,8.59770352690248e-08
Gamma,1,3,24113.3135480787,24113.3135467031,1.37557799462229e-06
Gamma,2,3,568.997900730945,568.997900884938,1.53992687046411e-07
Gamma,3,3,-817.841581328301,-817.841581435275,1.06973971014668e-07
Gamma,1,4,-25774.5948892143,-25774.5948868404,2.37385756918229e-06
Gamma,2,4,23699.8947204752,23699.894718554,1.92112565855496e-06
Gamma,3,4,1753.38267028415,1753.38266980574,4.78415813631727e-07
Gamma,1,5,23896.5388511396,23896.5388493106,1.82895018951967e-06
Gamma,2,5,-24790.7080841934,-24790.7080819232,2.27025157073513e-06
Gamma,3,5,832.750742663013,832.750742546517,1.16495812108042e-07
Gamma,1,6,24382.3774801315,24382.3774789931,1.13840724225156e-06
Gamma,2,6,0,0,0
Gamma,3,6,-924.315519948973,-924.315519895691,5.32821786691784e-08
Gamma,1,7,-22279.4648668301,-22279.4648657931,1.03692946140654e-06
Gamma,2,7,0,0,0
Gamma,3,7,-1916.01338544293,-1916.01338555558,1.12654106487753e-07
Gamma,1,8,23451.1443187315,23451.1443177432,9.88347892416641e-07
Gamma,2,8,0,0,0
Gamma,3,8,1962.88061717732,1962.88061692362,2.53700591201778e-07
