implementation,scenario,measurement,samples,calls_per_sample,min_ns,median_ns,p95_ns,p99_ns,max_ns,mean_ns
matlab_timer_only,baseline,individual,10000,1,100.0,200.0,200.0,300.0,89300.0,176.48
matlab_existing_conditioner,mixed_100,individual,10000,1,2500.0,2800.0,5300.0,5600.0,162300.0,3393.67
matlab_existing_conditioner,mixed_100,batch_mean,500,200,2654.0,2815.0,4586.0,5538.5,11604.0,3099.768
matlab_beta_only,mixed_100,individual,10000,1,1700.0,1800.0,3600.0,3900.0,85200.0,2205.57
matlab_beta_only,mixed_100,batch_mean,500,200,1779.0,1846.75,3266.0,3543.0,4404.0,2053.147
matlab_existing_conditioner,conditioned_3,individual,10000,1,2500.0,2700.0,3900.0,5300.0,35400.0,2845.1
matlab_existing_conditioner,conditioned_3,batch_mean,500,200,2659.5,2786.25,4338.5,5048.5,5656.0,2986.759
matlab_beta_only,conditioned_3,individual,10000,1,1700.0,1800.0,3200.0,4300.0,68900.0,2075.46
matlab_beta_only,conditioned_3,batch_mean,500,200,1775.5,1848.75,2862.0,3585.0,3961.5,1979.063
matlab_existing_conditioner,unconditioned_97,individual,10000,1,2500.0,2700.0,4800.0,5500.0,51300.0,2898.53
matlab_existing_conditioner,unconditioned_97,batch_mean,500,200,2660.5,2773.5,4500.0,5325.0,5964.0,2993.286
matlab_beta_only,unconditioned_97,individual,10000,1,1700.0,1800.0,3500.0,3800.0,54500.0,1968.27
matlab_beta_only,unconditioned_97,batch_mean,500,200,1770.0,1818.5,2981.5,3424.5,3984.0,1990.859
cpp_timer_only,baseline,individual,10000,1,0.0,0.0,100.0,100.0,300.0,22.29
cpp_double_conditioner,mixed_100,individual,10000,1,0.0,0.0,100.0,100.0,100.0,46.87
cpp_double_conditioner,mixed_100,batch_mean,500,200,25.0,25.5,25.5,30.0,41.5,25.4
cpp_double_conditioner,conditioned_3,individual,10000,1,0.0,0.0,100.0,100.0,100.0,46.7
cpp_double_conditioner,conditioned_3,batch_mean,500,200,24.5,25.0,25.0,33.0,84.5,25.263
cpp_double_conditioner,unconditioned_97,individual,10000,1,0.0,0.0,100.0,100.0,3400.0,46.98
cpp_double_conditioner,unconditioned_97,batch_mean,500,200,24.5,24.5,25.0,27.0,44.0,24.909
cpp_double_beta_only,mixed_100,individual,10000,1,0.0,0.0,100.0,100.0,100.0,27.16
cpp_double_beta_only,mixed_100,batch_mean,500,200,6.5,7.0,7.5,7.5,12.5,7.233
cpp_double_beta_only,conditioned_3,individual,10000,1,0.0,0.0,100.0,100.0,100.0,27.67
cpp_double_beta_only,conditioned_3,batch_mean,500,200,6.5,6.5,7.0,7.0,13.5,6.684
cpp_double_beta_only,unconditioned_97,individual,10000,1,0.0,0.0,100.0,100.0,100.0,27.29
cpp_double_beta_only,unconditioned_97,batch_mean,500,200,6.5,7.0,7.5,11.0,28.5,7.249
cpp_float_us_conditioner,mixed_100,individual,10000,1,0.0,0.0,100.0,100.0,100.0,39.51
cpp_float_us_conditioner,mixed_100,batch_mean,500,200,20.5,21.0,21.5,22.0,40.0,21.139
cpp_float_us_conditioner,conditioned_3,individual,10000,1,0.0,0.0,100.0,100.0,100.0,39.74
cpp_float_us_conditioner,conditioned_3,batch_mean,500,200,21.5,30.5,31.5,34.5,58.0,27.357
cpp_float_us_conditioner,unconditioned_97,individual,10000,1,0.0,0.0,100.0,100.0,19200.0,48.79
cpp_float_us_conditioner,unconditioned_97,batch_mean,500,200,21.0,21.5,32.0,33.5,48.0,25.142
cpp_float_us_beta_only,mixed_100,individual,10000,1,0.0,0.0,100.0,100.0,100.0,33.3
cpp_float_us_beta_only,mixed_100,batch_mean,500,200,6.0,6.0,6.5,7.5,14.5,6.232
cpp_float_us_beta_only,conditioned_3,individual,10000,1,0.0,0.0,100.0,100.0,8700.0,29.22
cpp_float_us_beta_only,conditioned_3,batch_mean,500,200,6.0,6.5,6.5,6.5,22.0,6.374
cpp_float_us_beta_only,unconditioned_97,individual,10000,1,0.0,0.0,100.0,100.0,200.0,28.38
cpp_float_us_beta_only,unconditioned_97,batch_mean,500,200,6.0,6.5,6.5,8.5,13.0,6.411
